author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/301869406/;Краснодар;rent;flat;14;17;3;72;70000;0;2007;15;мкр. Юбилейный;бульвар Клары Лучко;6;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304002109/;Краснодар;rent;flat;2;5;3;92.1;45000;0;2007;14;мкр. РИП; Вологодская;8;
Алексей Гнеушев;realtor;https://krasnodar.cian.ru/rent/flat/307099464/;Краснодар;rent;flat;2;5;3;60;25000;0;1965;7;мкр. Черемушки; 2-я Пятилетка;7;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307441827/;Краснодар;rent;flat;9;24;3;85;52500;0;2023;-1;мкр. ККБ; Домбайская;55к5;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307358639/;Краснодар;rent;flat;4;5;3;70;63900;0;1960;7;Центральный; Красноармейская;1;
ID 122418908;homeowner;https://krasnodar.cian.ru/rent/flat/307968922/;Краснодар;rent;flat;7;10;3;75;35000;0;-1;10;мкр. Юбилейный;проспект Чекистов;;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307984225/;Краснодар;rent;flat;11;16;3;88;57700;0;2011;6;Юбилейный мкр;проспект Чекистов;39;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307587855/;Краснодар;rent;flat;15;24;3;135;150000;0;2015;-1;мкр. Центральный; Буденного;129;
ID 60273650;homeowner;https://krasnodar.cian.ru/rent/flat/307965543/;Краснодар;rent;flat;2;16;3;74.6;50000;0;2014;13.9;мкр. Московский; Им. Байбакова Н.К.;4;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/267399458/;Краснодар;rent;flat;21;22;3;165;200000;0;2013;45;мкр. Центральный; Кубанская Набережная;37;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/292331263/;Краснодар;rent;flat;14;16;3;100;55000;0;-1;-1;;;;
ID 8761822;homeowner;https://krasnodar.cian.ru/rent/flat/298375823/;Краснодар;rent;flat;4;22;3;82;50000;0;2008;18;мкр. Школьный; Филатова;19.фев;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/308100846/;Краснодар;rent;flat;3;17;3;80;65000;0;2015;-1;мкр. Фестивальный;проспект Константина Образцова;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304929246/;Краснодар;rent;flat;15;17;3;150;190000;0;2015;-1;мкр. Центральный; Кубанская Набережная;33;
ID 86315786;realtor;https://krasnodar.cian.ru/rent/flat/307627256/;Краснодар;rent;flat;4;6;3;72;28000;0;1993;14;мкр. Школьный;Передовая ;80;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303575792/;Краснодар;rent;flat;21;23;3;150;200000;0;2012;-1;мкр. Центральный; Кубанская Набережная;37/12;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307066591/;Краснодар;rent;flat;20;23;3;150;200000;0;2012;-1;мкр. Центральный; Кубанская Набережная;37/12;
ID 108354614;homeowner;https://krasnodar.cian.ru/rent/flat/301106953/;Краснодар;rent;flat;9;15;3;117;65000;0;2006;15;мкр. Кожзавод; Передерия;64;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/306400761/;Краснодар;rent;flat;21;27;3;120;120000;0;2013;-1;Центральный;Московская ;57/1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/306322846/;Краснодар;rent;flat;5;17;3;150;150000;0;2015;-1;мкр. Центральный; Кубанская Набережная;33;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/292268159/;Краснодар;rent;flat;14;15;3;110;55000;0;2006;-1;мкр. Кожзавод; Передерия;64;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/303838974/;Краснодар;rent;flat;3;16;3;110;80000;0;2013;-1;;;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304906384/;Краснодар;rent;flat;13;25;3;95;180000;0;2017;-1;мкр. Фестивальный; Совхозная;1к3;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307711097/;Краснодар;rent;flat;12;16;3;100;70000;0;2008;-1;мкр. Центральный; Постовая;23;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/306914429/;Краснодар;rent;flat;15;27;3;120;150000;0;2013;-1;Центральный;Московская ;57/1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307271576/;Краснодар;rent;flat;7;18;3;105;150000;0;2021;-1;мкр. Табачная фабрика;Колхозная ;5;
ID 9786946;homeowner;https://krasnodar.cian.ru/rent/flat/307091575/;Краснодар;rent;flat;5;20;3;90;42000;0;2020;13.4;мкр. РИП; Евгении Жигуленко;13к1;
ESTATE;real_estate_agent;https://krasnodar.cian.ru/rent/flat/297449317/;Краснодар;rent;flat;2;8;3;108;70000;0;-1;17;мкр. Центральный; Красина;09.янв;
Заира Карамурзина;realtor;https://krasnodar.cian.ru/rent/flat/307614511/;Краснодар;rent;flat;17;26;3;130;350000;0;2018;35;мкр. Фестивальный; Совхозная;1к6;
ID 15534204;unknown;https://krasnodar.cian.ru/rent/flat/308109935/;Краснодар;rent;flat;5;9;3;65;10000;0;1978;-1;мкр. Центральный; Красных Партизан;242;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304929935/;Краснодар;rent;flat;7;26;3;90;100000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
ID 81855844;unknown;https://krasnodar.cian.ru/rent/flat/308101662/;Краснодар;rent;flat;4;5;3;62.3;20000;0;1975;6;мкр. Гидростроителей; Дмитрия Благоева;38;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307510924/;Краснодар;rent;flat;7;16;3;110;45000;0;2006;25;мкр. Восточно-Кругликовский;Черкасская ;63;
ID 12348621;unknown;https://krasnodar.cian.ru/rent/flat/308017367/;Краснодар;rent;flat;8;9;3;58.1;25000;0;1978;7;мкр. Гидростроителей; Гидростроителей;22;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307460761/;Краснодар;rent;flat;6;16;3;100;75000;0;2009;-1;Западный;Дальняя ;39/2;
ID 30960481;realtor;https://krasnodar.cian.ru/rent/flat/306761915/;Краснодар;rent;flat;1;5;3;60;25000;0;1996;6;мкр. Фестивальный; Гагарина;95;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/160442476/;Краснодар;rent;flat;5;17;3;107;65000;0;2014;-1;мкр. Фестивальный;проспект Константина Образцова;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304200548/;Краснодар;rent;flat;10;18;3;90;75000;0;2018;-1;мкр. Фестивальный; Имени Симиренко;71к1;
ID 71093718;homeowner;https://krasnodar.cian.ru/rent/flat/254256551/;Краснодар;rent;flat;1;16;3;80;30000;0;2017;-1;мкр. Восточно-Кругликовский; Героя Владислава Посадского;42;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/231458642/;Краснодар;rent;flat;10;24;3;100;70000;0;2012;-1;мкр. Кожзавод; Кожевенная;26;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/170731321/;Краснодар;rent;flat;14;24;3;120;70000;0;2015;-1;мкр. Центральный; Буденного;;
ID 101920350;homeowner;https://krasnodar.cian.ru/rent/flat/307936378/;Краснодар;rent;flat;8;17;3;70.1;61000;0;2020;29.7;Имени Петра Метальникова мкр; Цезаря Куникова;24к3;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/299192384/;Краснодар;rent;flat;17;22;3;170;300000;0;2014;-1;мкр. Центральный; Кубанская Набережная;37;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/222871581/;Краснодар;rent;flat;17;22;3;140;120000;0;2012;-1;мкр. Центральный; Кубанская Набережная;37/12;
Юрий Кравчишин;realtor;https://krasnodar.cian.ru/rent/flat/307752644/;Краснодар;rent;flat;5;5;3;70;50000;0;1957;-1;мкр. Центральный;Красная ;33;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303688539/;Краснодар;rent;flat;2;16;3;100;75000;0;2013;-1;мкр. Кожзавод;Минская ;122/15;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/308073008/;Краснодар;rent;flat;8;13;3;100;60000;0;2005;-1;мкр. Фестивальный; Архитектора Ишунина;8;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307940280/;Краснодар;rent;flat;3;5;3;52;40000;0;1969;6;мкр. Дубинка;Ставропольская ;45/1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/216969986/;Краснодар;rent;flat;8;22;3;140;100000;0;2012;-1;мкр. Центральный; Кубанская Набережная;37/12;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/160723392/;Краснодар;rent;flat;6;16;3;120;55000;0;2008;-1;Фестивальный мкр; Монтажников;;
МойДом;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307874369/;Краснодар;rent;flat;11;17;3;62.4;40000;0;2023;11.3;Прикубанский; Имени Героя Ростовского;8к7;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/308077479/;Краснодар;rent;flat;7;22;3;80;65000;0;2014;-1;мкр. Центральный; Кубанская Набережная;37;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/298277703/;Краснодар;rent;flat;16;16;3;120;120000;0;-1;-1;Центральный;Красная ;;
ID 117404068;homeowner;https://krasnodar.cian.ru/rent/flat/307508161/;Краснодар;rent;flat;1;1;3;65;36000;0;-1;12;мкр. Кожзавод; Каляева;6;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/308078425/;Краснодар;rent;flat;5;17;3;105;70000;0;2011;-1;мкр. Фестивальный; Яна Полуяна;47;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304898754/;Краснодар;rent;flat;7;18;3;100;130000;0;2020;-1;Центральный; Митрофана Седина;51/1;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308010420/;Краснодар;rent;flat;5;12;3;80;45500;0;2002;-1;мкр. Юбилейный; Думенко;33;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/308110564/;Краснодар;rent;flat;5;9;3;130;75000;0;2004;-1;мкр. Аврора; Федора Лузана;19;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/292014766/;Краснодар;rent;flat;4;16;3;90;90000;0;2012;-1;мкр. Кожзавод; Кожевенная;;
Павел  Кононов;realtor;https://krasnodar.cian.ru/rent/flat/300707572/;Краснодар;rent;flat;2;7;3;106;38000;0;2006;-1;мкр. Восточно-Кругликовский;Черкасская ;63;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304556224/;Краснодар;rent;flat;5;23;3;90;90000;0;2023;-1;мкр. Аврора; Имени Дзержинского;95;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/213957198/;Краснодар;rent;flat;15;25;3;80;120000;0;2017;-1;мкр. Фестивальный; Совхозная;1к3;
ID 89984140;homeowner;https://krasnodar.cian.ru/rent/flat/308027109/;Краснодар;rent;flat;11;16;3;75;40000;0;2014;11;Солнечный мкр; Казбекская;17;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/223508019/;Краснодар;rent;flat;8;24;3;100;80000;0;2011;-1;мкр. Кожзавод; Кожевенная;28;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303577164/;Краснодар;rent;flat;23;26;3;110;250000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
ID 32608544;homeowner;https://krasnodar.cian.ru/rent/flat/307255487/;Краснодар;rent;flat;6;7;3;77;52000;0;2019;-1;Прикубанский; Античная;2;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/298277094/;Краснодар;rent;flat;16;16;3;110;120000;0;-1;-1;Центральный;Красная ;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307258931/;Краснодар;rent;flat;18;27;3;120;100000;0;2012;-1;Западный; Имени П.М. Гаврилова;27;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308019458/;Краснодар;rent;flat;3;5;3;61;25000;0;1975;6;Центральный;Свободная ;74;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307412047/;Краснодар;rent;flat;5;10;3;125;120000;0;-1;-1;мкр. Центральный; Красина;09.янв;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/235841172/;Краснодар;rent;flat;14;15;3;150;150000;0;2007;-1;мкр. Центральный; Гимназическая;30;
Анна Скрябова;realtor;https://krasnodar.cian.ru/rent/flat/279979591/;Краснодар;rent;flat;10;24;3;110;70000;0;2012;-1;мкр. Юбилейный;бульвар Клары Лучко;14к3;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/299195484/;Краснодар;rent;flat;4;26;3;150;240000;0;2018;-1;мкр. Фестивальный; Совхозная;1к1;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/301711376/;Краснодар;rent;flat;8;15;3;120;170000;0;2007;-1;мкр. Центральный; Гимназическая;;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/302081575/;Краснодар;rent;flat;15;16;3;105;60000;0;2009;-1;Западный;Дальняя ;39/2;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303418683/;Краснодар;rent;flat;15;26;3;80;180000;0;2019;-1;Западный;Дальняя ;8к2;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/306283362/;Краснодар;rent;flat;21;23;3;120;90000;0;2016;-1;Солнечный мкр; Казбекская;1;
Самолет Плюс Степная;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307343737/;Краснодар;rent;flat;7;16;3;85;45000;0;2010;9.9;Прикубанский;Кореновская ;61;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306370093/;Краснодар;rent;flat;8;22;3;129;140000;0;2009;22.5;мкр. Центральный; Кубанская Набережная;31.янв;
ID 78663318;homeowner;https://krasnodar.cian.ru/rent/flat/298413317/;Краснодар;rent;flat;19;24;3;61;50000;0;2023;17.5;;;;
ID 26632250;unknown;https://krasnodar.cian.ru/rent/flat/307062875/;Краснодар;rent;flat;2;9;3;72.8;45000;0;2024;15;Прикубанский; Имени Генерала Корнилова;14;
ID 120833593;homeowner;https://krasnodar.cian.ru/rent/flat/307680589/;Краснодар;rent;flat;5;5;3;85;43369;0;1960;9;мкр. Центральный; Советская;40;
ID 122487915;homeowner;https://krasnodar.cian.ru/rent/flat/308040016/;Краснодар;rent;flat;2;17;3;80;65000;0;2015;16;мкр. Фестивальный;проспект Константина Образцова;25к2;
ID 94853912;homeowner;https://krasnodar.cian.ru/rent/flat/304555960/;Краснодар;rent;flat;9;9;3;64;38000;0;2024;15;Прикубанский; Скандинавская;1к7;
Надежда Сидорина;realtor;https://krasnodar.cian.ru/rent/flat/307633831/;Краснодар;rent;flat;5;5;3;60;25000;0;1969;7;мкр. Славянский; Сочинская;25;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/279433415/;Краснодар;rent;flat;2;17;3;90;65000;0;2014;-1;мкр. Фестивальный;проспект Константина Образцова;25.янв;
ID 96677016;homeowner;https://krasnodar.cian.ru/rent/flat/307907700/;Краснодар;rent;flat;10;26;3;69;90000;0;2021;25;Прикубанский; Имени Героя Георгия Бочарникова;4;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/291072877/;Краснодар;rent;flat;12;12;3;84;40000;0;2002;17;мкр. Юбилейный;проспект Чекистов;1;
КУБАНЬ РИЕЛТ;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307366851/;Краснодар;rent;flat;5;16;3;70;40000;0;2023;30;Прикубанский; Адмирала Крузенштерна;5к1;
ID 22861123;homeowner;https://krasnodar.cian.ru/rent/flat/306791434/;Краснодар;rent;flat;3;5;3;97;55000;0;-1;-1;Центральный; Постовая;69;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/288091729/;Краснодар;rent;flat;7;24;3;135;130000;0;2015;-1;мкр. Центральный; Буденного;129;
Инна Рудова;realtor;https://krasnodar.cian.ru/rent/flat/304298245/;Краснодар;rent;flat;9;18;3;75;80000;0;2018;22;мкр. Панорама; Им. Героя Сарабеева В.И.;5к4;
ID 10369031;realtor;https://krasnodar.cian.ru/rent/flat/307871388/;Краснодар;rent;flat;14;17;3;76;40000;0;2012;16;мкр. Московский; Им. Байбакова Н.К.;14;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/298756420/;Краснодар;rent;flat;11;25;3;90;220000;0;2018;-1;Западный;Дальняя ;8к1;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/278989540/;Краснодар;rent;flat;14;22;3;150;300000;0;-1;-1;мкр. Центральный; Кубанская Набережная;37;
ID 118702554;homeowner;https://krasnodar.cian.ru/rent/flat/307262002/;Краснодар;rent;flat;16;17;3;80.9;35000;0;2010;19;мкр. Восточно-Кругликовский; Героя А.А. Аверкиева;10;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/225099192/;Краснодар;rent;flat;6;16;3;138;220000;0;2015;-1;мкр. Центральный; Кубанская Набережная;;
Лариса Переверзева;realtor;https://krasnodar.cian.ru/rent/flat/297008894/;Краснодар;rent;flat;3;5;3;60;37000;0;1984;9;мкр. Славянский; Красных Партизан;75;
ID 91287395;unknown;https://krasnodar.cian.ru/rent/flat/275441066/;Краснодар;rent;flat;11;20;3;75;43000;0;2018;-1;мкр. Горхутор; Агрономическая;2/5лит1;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304342524/;Краснодар;rent;flat;17;22;3;130;120000;0;2014;30;мкр. Центральный; Кубанская Набережная;37;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/304931007/;Краснодар;rent;flat;16;17;3;120;190000;0;2015;-1;мкр. Центральный; Кубанская Набережная;33;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306888757/;Краснодар;rent;flat;10;12;3;83;55000;0;1980;12;мкр. Центральный;Рашпилевская ;34;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/303134224/;Краснодар;rent;flat;9;16;3;112.4;120000;0;2015;25;мкр. Центральный; Буденного;129;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/245877608/;Краснодар;rent;flat;16;24;3;140;180000;0;2013;-1;;;;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307311229/;Краснодар;rent;flat;2;7;3;75;50000;0;2014;-1;Прикубанский; Византийская;1;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/288771643/;Краснодар;rent;flat;16;21;3;125;195000;0;2018;-1;мкр. Центральный; Кубанская Набережная;3;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/289163917/;Краснодар;rent;flat;5;25;3;135;300000;0;2017;-1;мкр. Фестивальный; Совхозная;1к4;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/161684489/;Краснодар;rent;flat;12;17;3;100;60000;0;-1;-1;;;;
Юг Сити -офис по ул. Коммунаров;real_estate_agent;https://krasnodar.cian.ru/rent/flat/282951056/;Краснодар;rent;flat;20;22;3;150;120000;0;-1;-1;мкр. Центральный; Кубанская Набережная;37/1;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/236997502/;Краснодар;rent;flat;14;24;3;125;130000;0;2015;-1;мкр. Центральный; Буденного;;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/217437861/;Краснодар;rent;flat;11;17;3;100;55000;0;2008;19;Центральный;Кубанская ;47;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/162235933/;Краснодар;rent;flat;14;22;3;90;80000;0;2012;-1;мкр. Центральный; Кубанская Набережная;;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/305799099/;Краснодар;rent;flat;5;18;3;80;80000;0;2018;-1;мкр. Фестивальный; Имени Симиренко;71к1;
ID 116761385;homeowner;https://krasnodar.cian.ru/rent/flat/305252404/;Краснодар;rent;flat;1;1;3;49;30000;0;1945;6;мкр. Аврора; Имени Дзержинского;85;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/222730573/;Краснодар;rent;flat;10;16;3;129;100000;0;2005;-1;мкр. Центральный; Комсомольская;;
Владис;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307628317/;Краснодар;rent;flat;17;18;3;100.8;70000;0;2016;-1;мкр. РИП;Московская ;125к1;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307711725/;Краснодар;rent;flat;7;19;3;85;55000;0;2012;-1;мкр. Юбилейный; Генерала Шифрина;5;
Наталья Берсенева;realtor;https://krasnodar.cian.ru/rent/flat/298436646/;Краснодар;rent;flat;5;17;3;49;61000;0;2017;9;Центральный; Коммунаров;270;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/292505743/;Краснодар;rent;flat;21;24;3;150;130000;0;-1;-1;мкр. Центральный; Кубанская Набережная;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/151839470/;Краснодар;rent;flat;4;12;3;130;55000;0;2005;-1;мкр. Фестивальный; Архитектора Ишунина;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/270441586/;Краснодар;rent;flat;4;25;3;132;250000;0;2017;-1;мкр. Фестивальный; Совхозная;;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/302239104/;Краснодар;rent;flat;15;19;3;115;90000;0;2011;-1;мкр. Кожзавод; Кожевенная;28;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307200724/;Краснодар;rent;flat;2;5;3;59;29000;0;1965;-1;мкр. Черемушки; 2-я Пятилетка;7;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/254455814/;Краснодар;rent;flat;17;19;3;117;130000;0;2016;-1;мкр. Центральный; Октябрьская;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/253519128/;Краснодар;rent;flat;20;24;3;124;120000;0;2012;-1;мкр. Кожзавод; Кожевенная;;
ID 40594077;homeowner;https://krasnodar.cian.ru/rent/flat/306399488/;Краснодар;rent;flat;15;16;3;100;50000;0;2011;16;мкр. ХБК; Стасова;183/2;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/216330150/;Краснодар;rent;flat;4;24;3;90;120000;0;-1;-1;;;;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/279358293/;Краснодар;rent;flat;6;16;3;140;200000;0;2015;-1;мкр. Центральный; Им. Пушкина;12;
ID 97919919;homeowner;https://krasnodar.cian.ru/rent/flat/306691981/;Краснодар;rent;flat;2;7;3;75;55000;0;2014;7;Прикубанский; Византийская;1;
Елена Горобец;realtor;https://krasnodar.cian.ru/rent/flat/307132204/;Краснодар;rent;flat;17;22;3;105;95000;0;2016;-1;Солнечный мкр; Казбекская;1;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/279171775/;Краснодар;rent;flat;8;9;3;105;100000;0;1971;20;мкр. Центральный; Им. Пушкина;35;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304801626/;Краснодар;rent;flat;18;26;3;100;80000;0;2018;-1;мкр. Фестивальный; Совхозная;1к1;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/297812129/;Краснодар;rent;flat;3;26;3;120;100000;0;2012;-1;мкр. Юбилейный;бульвар Клары Лучко;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/188533720/;Краснодар;rent;flat;10;19;3;100;75000;0;2010;-1;мкр. Центральный; Кубанская Набережная;;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307960793/;Краснодар;rent;flat;6;16;3;75;65000;0;2022;25;мкр. 9-й километр; Ярославская;113;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/300491358/;Краснодар;rent;flat;12;24;3;120;140000;0;2015;-1;мкр. Центральный; Буденного;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/204804061/;Краснодар;rent;flat;5;20;3;100;120000;0;2018;-1;;;;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/148955976/;Краснодар;rent;flat;3;16;3;80;65000;0;2015;-1;мкр. Фестивальный;проспект Константина Образцова;25к1;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/295874678/;Краснодар;rent;flat;6;26;3;140;270000;0;2018;-1;мкр. Фестивальный; Совхозная;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/222730930/;Краснодар;rent;flat;6;24;3;110;80000;0;2012;-1;мкр. Кожзавод; Кожевенная;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/273243920/;Краснодар;rent;flat;12;24;3;90;75000;0;2012;-1;мкр. Кожзавод; Кожевенная;26;
Майя Казанцева;realtor;https://krasnodar.cian.ru/rent/flat/303616170/;Краснодар;rent;flat;18;26;3;90;230000;0;2018;-1;мкр. Фестивальный; Совхозная;1к5;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/236450039/;Краснодар;rent;flat;9;16;3;140;190000;0;-1;-1;мкр. Центральный; Имени Пушкина;;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307711916/;Краснодар;rent;flat;16;16;3;100;100000;0;2015;-1;мкр. Центральный; Буденного;129;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/184818109/;Краснодар;rent;flat;18;24;3;120;130000;0;2017;-1;мкр. Центральный; Кубанская Набережная;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/222751189/;Краснодар;rent;flat;18;22;3;105;180000;0;2012;-1;мкр. Центральный; Кубанская Набережная;;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/279148677/;Краснодар;rent;flat;6;12;3;85;60000;0;2013;-1;Западный;Дальняя ;39/2;
Роника;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305568205/;Краснодар;rent;flat;13;19;3;127;140000;0;2011;29;мкр. Кожзавод; Кожевенная;28;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/201641691/;Краснодар;rent;flat;10;24;3;110;130000;0;-1;-1;;;;
ID 104246989;homeowner;https://krasnodar.cian.ru/rent/flat/306205613/;Краснодар;rent;flat;14;16;3;90;50000;0;2022;10;мкр. Центральный; Севастопольская;06.янв;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/297789547/;Краснодар;rent;flat;22;24;3;120;120000;0;2018;-1;;;;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/160329375/;Краснодар;rent;flat;8;24;3;125;100000;0;2012;-1;мкр. Кожзавод; Кожевенная;;
ID 107959720;homeowner;https://krasnodar.cian.ru/rent/flat/292847282/;Краснодар;rent;flat;3;4;3;75;40000;0;2007;20;мкр. Ипподром; Бульварная;27;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/303899556/;Краснодар;rent;flat;18;25;3;90;220000;0;2017;-1;мкр. Фестивальный; Совхозная;;
