author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307186725/;Краснодар;rent;flat;21;22;3;120;90000;0;2016;22;Солнечный мкр; Казбекская;1;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/303967087/;Краснодар;rent;flat;18;22;3;120;150000;0;2014;25;мкр. Центральный; Кубанская Набережная;37;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/305595738/;Краснодар;rent;flat;11;15;3;120;170000;0;2007;-1;мкр. Центральный; Гимназическая;30;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/298645150/;Краснодар;rent;flat;17;25;3;100;120000;0;2021;-1;Западный;Гаражная ;87;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/159126657/;Краснодар;rent;flat;12;24;3;130;120000;0;2013;25;мкр. Центральный; Кубанская Набережная;37;
Павел  Кононов;realtor;https://krasnodar.cian.ru/rent/flat/307322892/;Краснодар;rent;flat;5;11;3;140;135000;0;2014;-1;мкр. Центральный; Красина;9/1к2;
Вадим Левицкий;realtor;https://krasnodar.cian.ru/rent/flat/307308952/;Краснодар;rent;flat;5;11;3;140;135000;0;2014;23;мкр. Центральный; Красина;9/1к2;
ID 13997289;homeowner;https://krasnodar.cian.ru/rent/flat/245036422/;Краснодар;rent;flat;15;16;2;63;55000;0;2022;6;Черемушки мкр; Вишняковой;1/23к2;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/270040027/;Краснодар;rent;flat;9;24;2;82;50000;0;2009;-1;мкр. Центральный; Кубанская Набережная;31.янв;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/267458539/;Краснодар;rent;flat;22;24;3;110;110000;0;2018;-1;Западный;Дальняя ;8к1;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/303093627/;Краснодар;rent;flat;11;20;3;100;85000;0;2010;-1;мкр. Центральный; Кубанская Набережная;;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307596945/;Краснодар;rent;flat;6;20;4;110;150000;0;2021;-1;мкр. Табачная фабрика;Колхозная ;5;
ID 122487915;homeowner;https://krasnodar.cian.ru/rent/flat/308056686/;Краснодар;rent;flat;1;9;4;120;85000;0;2003;30;мкр. Фестивальный; Архитектора Ишунина;4;
Валерия Боголюбова;realtor;https://krasnodar.cian.ru/rent/flat/289984598/;Краснодар;rent;flat;4;9;4;75;29000;0;1986;8;мкр. ЗИП; Имени 40-летия Победы;37/1;
